Código Región,Nombre Región,Código Municipio,Nombre Municipio,Código Habilitación Prestador Salud,Razón Social Organización,Nombre Sede,Número NIT,Dirección,Número Teléfono,Dirección Correo Electrónico,Punto
3,Magdalena Medio,5142,Caracolí,51420410301,HOSPITAL SAN PIO X,HOSPITAL SAN PIO X,"890,981,266",CL 21# 20-32,5748336014,gerencia@esesanpioxcaracoli.gov.co,"(6.411135, -74.754925)"
8,Suroeste,5145,Caramanta,51450158501,E.S.E. HOSPITAL SAN ANTONIO,E.S.E. HOSPITAL SAN ANTONIO,"890,981,163",KR 21 BOLIVAR # 16-33,3128337704,gerenciaesecaramanta@hotmail.com,"(5.545532, -75.644077)"
9,Urabá,5147,Carepa,51470631101,EMPRESA SOCIAL DEL ESTADO HOSPITAL FRANCISCO LUIS JIMENEZ MARTINEZ,E.S.E HOSPITAL FRANCISCO LUIS JIMENEZ MARTINEZ,"800,227,877",CL 70  # 68 - 03,5748236548,gestiondocumental@hospitaldecarepa.gov.co,"(7.750753, -76.65483)"
5,Norte,5150,Carolina,51500458401,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN RAFAEL,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN RAFAEL,"890,906,344",CL 52 B # 54-70,5748634045,carohs01@edatel.net.co,"(6.723214, -75.280809)"
2,Bajo Cauca,5154,Caucasia,51540220101,E.S.E. HOSPITAL CESAR URIBE PIEDARHITA,HOSPITAL CESAR URIBE PIEDARHITA,"890,980,757",Carrera 20 # 1A-100 Barrio El Man,3201212,gerencia@hcup.gov.co,"(7.995211, -75.19809)"
9,Urabá,5172,Chigorodó,51720630501,EMPRESA SOCIAL DEL ESTADO HOSPITAL MARIA AUXILIADORA,EMPRESA SOCIAL DEL ESTADO HOSPITAL MARIA AUXILIADORA,"890,980,997",KR 108 # 101 A - 57,5748253191,admin@hospitalma.gov.co,"(7.672513, -76.687805)"
4,Nordeste,5190,Cisneros,51900559201,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN ANTONIO,E.S.E HOSPITAL SAN ANTONIO,"890,980,444",CL 18 # 17-105,8631847,gerencia@esesanantonio-cisneros-antioquia.gov.co,"(6.537253, -75.088447)"
8,Suroeste,5101,Ciudad Bolívar,51010213901,E.S.E. HOSPITAL LA MERCED DE CIUDAD BOLIVAR,E.S.E. HOSPITAL LA MERCED,"890,907,241",CL 49 # 36-298,8411182,gerencia@hlamerced.gov.co,"(5.846031, -76.007988)"
7,Oriente,5197,Cocorná,51970559301,ESE HOSPITAL SAN JUAN DE DIOS DE COCORNA,ESE HOSPITAL SAN JUAN DE DIOS,"890,981,108",CL 21 # 23-45,5748343685,gerencia@hospitaldecocorna.com,"(6.057621, -75.186546)"
7,Oriente,5206,Concepción,52060478001,ESE HOSPITAL JOSE MARIA CORDOBA,ESE HOSPITAL JOSE MARIA CORDOBA,"890,980,512",KR 19 # 19-83,5748567024,administrador@esehospitaljosemariacordobaconcepcionantioquia.gov.co,"(6.041964, -74.992971)"
8,Suroeste,5209,Concordia,52090581901,E.S.E. HOSPITAL SAN JUAN DE DIOS DE CONCORDIA,E.S.E. HOSPITAL SAN JUAN DE DIOS,"89,090,797",KR 18 # 16-05,844 77 24,hospitaldeconcordia@hospital-concordia.gov.co,"(6.045373, -75.904713)"
1,Valle de Aburrá,5212,Copacabana,52120230801,E.S.E. HOSPITAL SANTA MARGARITA,E.S.E. HOSPITAL SANTA MARGARITA,"890,980,949",KR 64 Nº 48-80 La misericordia,4802390 ext 176,gerencia@santamargarita.gov.co,"(6.349485, -75.505182)"
6,Occidente,5234,Dabeiba,52340231401,EMPRESA SOCIAL DEL ESTADO HOSPITAL NUESTRA SEÑORA DEL PERPETUO SOCORRO,E.S.E HOSPITAL NUESTRA SEÑORA DEL PERPETUO SOCORRO,"890,984,670",KR URIBE URIBE # 622,5748590045,gerencia@hospitaldabeiba.gov.co,"(6.997737, -76.261725)"
5,Norte,5237,Don Matias,52370594801,E.S.E. HOSPITAL FRANCISCO ELADIO BARRERA,E.S.E. HOSPITAL FRANCISCO ELADIO BARRERA,"890,905,097",CL 36A # 29-55,5748663737,gerencia@hospitaldonmatias.gov.co,"(6.489024, -75.395705)"
6,Occidente,5240,Ebéjico,52400374401,EMPRESA SOCIAL DEL ESTADO  HOSPITAL SAN RAFAEL,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN RAFAEL,"890,982,370",BRR VEREDA FATIMA,5748562681,hospebejico@gmail.com,"(6.325962, -75.767641)"
2,Bajo Cauca,5250,El bagre,52500213301,EMPRESA SOCIAL DEL ESTADO HOSPITAL NUESTRA SEÑORA DEL CARMEN,ESE HOSPITAL NUESTRA SEÑORA DEL CARMEN,"800,138,311",CL 50 # 46D-37,5748372381,bagrhs01@edatel.net.co,"(7.590835, -74.809856)"
7,Oriente,5148,El Carmen de Viboral,51480431001,E.S.E. HOSPITAL SAN JUAN DE DIOS DEL CARMEN DE VIBORAL,E.S.E. HOSPITAL SAN JUAN DE DIOS,"890,907,279",KR 31 # 19-58,5745434343,gerencia@hospitalcarmenv.gov.co,"(6.075086, -75.331621)"
7,Oriente,5541,El Peñol,55410197901,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS,E.S.E HOSPITAL SAN JUAN DE DIOS,"890,980,486",TV 7A # 11-84,5748515750,gerencia@esesanjuandedios-penol-antioquia.gov.co,"(6.216002, -75.238819)"
7,Oriente,5607,El Retiro,56070238301,E.S.E. HOSPITAL SAN JUAN DE DIOS DEL RETIRO,E.S.E. HOSPITAL SAN JUAN DE DIOS DEL RETIRO,"890,982,124",CL 18 # 21-103,5745410055,eseretiro@epm.net.co,"(6.05621, -75.503709)"
7,Oriente,5697,El Santuario,56970242701,E.S.E. HOSPITAL SAN JUAN DE DIOS EL SANTUARIO,E.S.E. HOSPITAL SAN JUAN DE DIOS EL SANTUARIO,"890,980,326",CL 49 # 41-63,5745460050,cadsant@hospitalelsantuario.gov.co,"(6.136576, -75.261921)"
5,Norte,5264,Entrerrios,52640230901,ESE HOSPITAL PRESBITERO EMIGDIO PALACIO,ESE HOSPITAL PRESBITERO EMIGDIO PALACIO,"890,984,779",TRANSVERSAL 13 CALLE 2-17,5748670051,entrhs01@edatel.net.co,"(6.567066, -75.517965)"
1,Valle de Aburrá,5266,Envigado,52660491001,E.S.E. HOSPITAL MANUEL URIBE ANGEL,ESE HOSPITAL MANUEL URIBE ANGEL,"890,906,347",DG 31 # 36 A SUR - 80,5742703511,radicacion@hospitalmua.gov.co,"(6.166892, -75.580128)"
8,Suroeste,5282,Fredonia,52820217101,E.S.E. HOSPITAL DE SANTA LUCIA,E.S.E. HOSPITAL SANTA LUCIA,"890,980,181",CL 69 # 50-220 VEREDA EL EDEN,5748401101,esefredonia@gmail.com,"(5.932994, -75.679965)"
6,Occidente,5284,Frontino,52840217001,EMPRESA SOCIAL DEL ESTADO HOSPITAL MARIA ANTONIA TORO DE ELEJALDE,EMPRESA SOCIAL DEL ESTADO HOSPITAL MARIA ANTONIA TORO DE ELEJALDE,"890,906,991",KR 27 # 31 - 38,5748595050,gerencia@hospitalfrontino.gov.co,"(6.780833, -76.126499)"
6,Occidente,5306,Giraldo,53060447701,E.S.E. HOSPITAL SAN ISIDRO,E.S.E. HOSPITAL SAN ISIDRO,"800,193,392",CALLE SANTANDER,3146494249 - 8571325,esehospitalsanisidro@gmail.com,"(6.681158, -75.953248)"
1,Valle de Aburrá,5308,Girardota,53080610401,E.S.E. HOSPITAL SAN RAFAEL,E.S.E. HOSPITAL SAN RAFAEL,"890,980,727",KR 16 # 11-01,0514052440 ext:115 102 113,laboratoriohsrg@gmail.com,"(6.375113, -75.449558)"
5,Norte,5310,Gomez Plata,53100501501,E.S.E. HOSPITAL SANTA ISABEL,E.S.E. HOSPITAL SANTA ISABEL,"890,902,151",KR 52 # 48-47,862 82 00,gerencia@esehospitalsantaisabel.gov.co,"(6.679196, -75.221613)"
7,Oriente,5313,Granada,53130510901,ESE HOSPITAL PADRE CLEMENTE GIRALDO,ESE HOSPITAL PADRE CLEMENTE GIRALDO,"890,981,182",CL 21 # 25-02,8320102 8320742,granhs00@gmail.com,"(6.140427, -75.183778)"
5,Norte,5315,Guadalupe,53150458601,E.S.E. NUESTRA SEÑORA DE GUADALUPE,E.S.E. HOSPITAL NUESTRA SEÑORA DE GUADALUPE,"890,981,690",CL 50 # 51-12,5748616110,hospitalguadalupe@gmail.com,"(6.814711, -75.241542)"
7,Oriente,5318,Guarne,53180243601,E.S.E. NUETRA SEÑORA DE LA CANDELARIA,E.S.E. NUETRA SEÑORA DE LA CANDELARIA,"890,981,719",KR 52 # 52-177,(054)551 13 13 - 576 70 90,gerencia@hospitalguarne.com,"(6.281456, -75.445352)"
7,Oriente,5321,Guatapé,53210442901,E.S.E. HOSPITAL LA INMACULADA,E.S.E. HOSPITAL LA INMACULADA,"890,981,817",KR 23A # 31-35,8610800 - 3016242530 - 3122590939,gerencia@hospitalguatape.com,"(6.232029, -75.156559)"
6,Occidente,5347,Heliconia,53470219201,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN RAFAEL,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN RAFAEL,"890,981,074",CL 22 B No 20-21,5748549897,eseheliconia@gmail.com,"(6.208224, -75.732622)"
8,Suroeste,5353,Hispania,53530238101,ESE HOSPITAL SAN JUAN DEL SUROESTE,ESE HOSPITAL SAN JUAN DEL SUROESTE,"800,068,653",CL 50 # 46-47,3113798288,facturacionhospitalhispania@gmail.com,"(5.799986, -75.904745)"
1,Valle de Aburrá,5360,Itagüí,53600212101,E.S.E. HOSPITAL DEL SUR GABRIEL JARAMILLO PIEDRAHITA,E.S.E. HOSPITAL DEL SUR GABRIEL JARAMILLO PIEDRAHITA,"811,017,810",CL 33 # 50A-25 SAN PIO,054 3732626,CAD@HOSPITALDELSUR.GOV.CO,"(6.165313, -75.621337)"
1,Valle de Aburrá,5360,Itagüí,53600433901,E.S.E. HOSPITAL SAN RAFAEL DE ITAGUI,E.S.E. HOSPITAL SAN RAFAEL DE ITAGUI,"890,980,066",KR 51A # 45-51,4482224,gerencia@hsanrafael.gov.co,"(6.171281, -75.613242)"
5,Norte,5361,Ituango,53610450501,E.S.E.  HOSPITAL SAN JUAN DE DIOS DE ITUANGO,E.S.E.  HOSPITAL SAN JUAN DE DIOS DE ITUANGO,"890,980,840",KR QUINDIO #  25-54,5748643100,notificacioneshospitalituango@gmail.com,"(7.170186, -75.764535)"
8,Suroeste,5364,Jardín,53640476801,E.S.E HOSPITAL GABRIEL PELÁEZ MONTOYA,E.S.E HOSPITAL GABRIEL PELÁEZ MONTOYA,"890,980,732",CL 5 UNION # 1 24,5748455555,hospital@esehospitalgabrielpelaezmontoya.gov.co,"(5.602425, -75.821784)"
8,Suroeste,5368,Jericó,53680483301,NUEVA ESE HOSPITAL SAN RAFAEL JERICO,NUEVA ESE HOSPITAL SAN RAFAEL JERICO,"890,980,765",KR 5 # 9-157,60485231656,hospital@hospitalsanrafaeljerico.gov.co,"(5.789472, -75.787382)"
7,Oriente,5376,La Ceja,53760592601,E.S.E. HOSPITAL DE LA CEJA,ESE HOSPITAL DE LA CEJA,"890,980,758",CL 17 # 19-55,5745531444,hospitalceja@une.net.co,"(6.028307, -75.431319)"
1,Valle de Aburrá,5380,La Estrella,53800501601,E.S.E. HOSPITAL LA ESTRELLA,EMPRESA SOCIAL DEL ESTADO HOSPITAL LA ESTRELLA,"800,138,968",CL 83 A SUR N° 60 - 45,5743106070,infohospital@eselaestrella.gov.co,"(6.157163, -75.64302)"
8,Suroeste,5390,La Pintada,53900509001,EMPRESA SOCIAL DEL ESTADO HOSPITAL ANTONIO ROLDAN BETANCUR,EMPRESA SOCIAL DEL ESTADO HOSPITAL ANTONIO ROLDAN BETANCUR,"811,013,792",KR 30 # 30A - 45,5748454063,harbgerencia@gmail.com,"(5.740705, -75.606859)"
7,Oriente,5400,La Unión,54000242001,E.S.E. HOSPITAL SAN ROQUE  LA UNION,E.S.E. HOSPITAL SAN ROQUE,"890,980,866",CL 2 # 11-54,5745560619,hospitallaunion890@gmail.com,"(5.967984, -75.359452)"
6,Occidente,5411,Liborina,54110157901,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN LORENZO,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN LORENZO,"890,982,139",KR 13 # 6-21,5748561826,libohs01@edatel.net.co,"(6.676713, -75.814548)"
3,Magdalena Medio,5425,Maceo,54250510501,EMPRESA SOCIAL DEL ESTADO MARCO A. CARDONA,EMPRESA SOCIAL DEL ESTADO HOSPITAL  MARCO A. CARDONA,"890,906,966",KR 30 # 33-237,5748640283,archivo@hospitalmaceo.gov.co,"(6.556282, -74.788297)"
7,Oriente,5440,Marinilla,54400527301,E.S.E. SAN JUAN DE DIOS DE MARINILLA,E.S.E. SAN JUAN DE DIOS DE MARINILLA,"890,980,752",KR 36 # 28-85,5745484044,gerencia@hospitalmarinilla.com; gestiondocumental@hospitalmarinilla.com,"(6.174593, -75.33948)"
1,Valle de Aburrá,5001,Medellín,50010214401,EMPRESA SOCIAL DEL ESTADO HOSPITAL GENERAL DE MEDELLIN LUZ CASTRO DE GUTIERREZ,EMPRESA SOCIAL DEL ESTADO HOSPITAL GENERAL DE MEDELLIN LUZ CASTRO DE GUTIERREZ,"890,904,647",KR 48 # 32-102,3847302,gestioncalidad@hgm.gov.co,"(6.23477, -75.572848)"
1,Valle de Aburrá,5001,Medellín,50010608601,E.S.E. HOSPITAL LA MARIA,EMPRESA SOCIAL DEL ESTADO HOSPITAL LA MARIA,"890,905,177",CL 92EE # 67-61,4447192,calidad@lamaria.gov.co,"(6.28661, -75.574179)"
1,Valle de Aburrá,5001,Medellín,50010239301,ESE HOSPITAL CARISMA,ESE HOSPITAL CARISMA,"890,985,405",CARRERA 93 N 34 AA 01,6050233,dorganizacional@esecarisma.gov.co,"(6.242055, -75.618542)"
1,Valle de Aburrá,5001,Medellín,50010217801,EMPRESA SOCIAL DEL ESTADO METROSALUD,ESE METROSALUD,"800,058,016",KR 50 # 44 - 27  ED SACATIN,5745117505,gerencia@metrosalud.gov.co,"(6.244572, -75.56986)"
8,Suroeste,5467,Montebello,54670396201,E.S.E. HOSPITAL SAN ANTONIO DE MONTEBELLO,E.S.E. HOSPITAL SAN ANTONIO,"890,981,096",CL 18 # 18-85,5748480559,hospisanantonio@esemontebello.gov.co,"(5.948656, -75.52304)"
9,Urabá,5475,Murindó,54750502001,ESE HOSPITAL SAN BARTOLOMÉ,ESE HOSPITAL SAN BARTOLOMÉ,"800,165,050",CL 2 # 14 - 20,8575093,hospitalmurindo@hotmail.com,"(6.980954, -76.821213)"
9,Urabá,5480,Mutatá,54800491601,E.S.E. HOSPITAL LA ANUNCIACION,E.S.E. HOSPITAL LA ANUNCIACION,"890,981,268",KR 10 # 10-08,8578700 - 8578100,hospital@eselaanunciacion-mutata-antioquia.gov.co,"(7.247664, -76.439309)"
7,Oriente,5483,Nariño,54830592801,E.S.E. HOSPITAL SAN JOAQUIN,E.S.E. HOSPITAL SAN JOAQUIN,"890,981,652",Calle13 No 6-33,8680109 8680273 8680363,admonesesanjoaquin@gmail.com,"(5.609793, -75.174637)"
2,Bajo Cauca,5495,Nechí,54950491501,ESE HOSPITAL LA MISERICORDIA,ESE HOSPITAL LA MISERICORDIA,"800,138,011",CL LA MISERICORDIA,5748368053,gerencia@hospitalnechi.gov.co,"(8.092287, -74.781103)"
9,Urabá,5490,Necoclí,54900481101,E.S.E. HOSPITAL SAN SEBASTIAN DE URABA,E.S.E. HOSPITAL SAN SEBASTIAN DE URABÁ,"890,985,603",CL 50 # 36 - 37 KM 2 VIA TURBO,5748214546,neyderpupo@hospitalnecocli.gov.co,"(8.424319, -76.78393)"
6,Occidente,5501,Olaya,55010556901,ESE HOSPITAL SAN MIGUEL,ESE HOSPITAL SAN MIGUEL,"800,202,398",KR 10 # 10 - 34,8550359,siauhso@gmail.com,"(6.613513, -75.764862)"
6,Occidente,5543,Peque,55430629901,E.S.E. HOSPITAL SAN FRANCISCO,E.S.E. HOSPITAL SAN FRANCISCO,"890,983,675",KR BOLIVAR # 11-170,6048552045 - 6048552132,gerencia@hospitalpeque.gov.co; administracion@hospitalpeque.gov.co,"(7.022272, -75.908618)"
8,Suroeste,5576,Pueblorrico,55760592901,E.S.E. HOSPITAL SAN VICENTE DE PAUL DE PUEBLO RICO,E.S.E. HOSPITAL SAN VICENTE DE PAUL,"890,981,532",CL 32 #  26A-38,8498080-8498326-8499054,hospitalpueblorrico@gmail.com,"(5.793464, -75.838787)"
3,Magdalena Medio,5579,Puerto Berrio,55790607001,EMPRESA SOCIAL DEL ESTADO HOSPITAL LA CRUZ,E.S.E HOSPITAL LA CRUZ,"890,980,063",KR 7 # 48-03,5748332490,pberhs01@edatel.net.co,"(6.488732, -74.404202)"
3,Magdalena Medio,5585,Puerto Nare,55850472501,EMPRESA SOCIAL DEL ESTADO HOSPITAL OCTAVIO OLIVARES,EMPRESA SOCIAL DEL ESTADO HOSPITAL OCTAVIO OLIVARES,"890,985,810",KR 5 # 45-103,5748347208,pnarehoo@gmail.com - hoogerencia@gmail.com,"(6.18466, -74.583856)"
3,Magdalena Medio,5591,Puerto Triunfo,55910421901,ESE HOSPITAL LA PAZ,ESE HOSPITAL LA PAZ,"800,072,678",CL 14 # 10 - 25,5748352098,ptrihs01@edatel.net.co,"(5.872305, -74.64018)"
4,Nordeste,5604,Remedios,56040550901,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN VICENTE DE PAUL,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN VICENTE DE PAUL,"890,985,092",CL LAS PALMAS # 12 - 120,8303727 8303899 8303471,info@hsvpremedios.gov.co,"(7.07385, -74.697847)"
7,Oriente,5615,Rionegro,56150137601,E.S.E. HOSPITAL SAN JUAN DE DIOS,E.S.E. HOSPITAL SAN JUAN DE DIOS,"890,907,254",KR 48 # 56-59,945313700,eserionegro@hsjdeserionegro.com,"(6.158646, -75.371353)"
6,Occidente,5628,Sabanalarga,56280510701,E.S.E. HOSPITAL SAN PEDRO,E.S.E. HOSPITAL SAN PEDRO,"890,982,140",KR 17 # 15-94,6048554209,gerencia@hspsabanalarga.gov.co,"(6.84718, -75.816565)"
1,Valle de Aburrá,5631,Sabaneta,56310220601,E.S.E. HOSPITAL VENANCIO DIAZ DIAZ,E.S.E. HOSPITAL VENACIO DIAZ DIAZ,"800,123,106",KR 46B # 77 SUR 36,5742889701,gerencia@hospitalsabaneta.gov.co,"(6.148166, -75.621836)"
8,Suroeste,5642,Salgar,56420457601,E.S.E. HOSPITAL SAN JOSE,E.S.E. HOSPITAL SAN JOSE,"890,981,424",CL 32A # 33-04,5748442020,gerencia@hsjsalgar.gov.co,"(5.965121, -75.980536)"
5,Norte,5647,San Andrés de Cuerquia,56470217401,EMPRESA SOCIAL DEL ESTADO GUSTAVO GONZALEZ OCHOA,E.S.E GUSTAVO GONZALEZ OCHOA,"890,982,113",BRR EL CRUCERO,5748618101,hospital.sanandresdecuerquia@gmail.com,"(6.914669, -75.675287)"
7,Oriente,5649,San Carlos,56490398301,E.S.E. HOSPITAL SAN VICENTE DE PAUL SAN CARLOS,E.S.E. HOSPITAL SAN VICENTE DE PAUL,"890,981,561",CL 21 # 24-58,5748358794,gerencia@hsvpsancarlos.gov.co,"(6.187542, -74.996393)"
